ENSSHAT00000000001.1	ENSSHAG00000000001.1	CERCAM
ENSSHAT00000006966.1	ENSSHAG00000006000.1	
ENSSHAT00000006968.1	ENSSHAG00000006002.1	
ENSSHAT00000006969.1	ENSSHAG00000006003.1	FOXK2
ENSSHAT00000006970.1	ENSSHAG00000006004.1	
ENSSHAT00000006971.1	ENSSHAG00000006005.1	
ENSSHAT00000006972.1	ENSSHAG00000006005.1	
ENSSHAT00000006973.1	ENSSHAG00000006006.1	POLR2G
ENSSHAT00000006974.1	ENSSHAG00000006007.1	PI4K2B
ENSSHAT00000006975.1	ENSSHAG00000006008.1	SETD3
ENSSHAT00000006976.1	ENSSHAG00000006008.1	SETD3
ENSSHAT00000006977.1	ENSSHAG00000006009.1	
ENSSHAT00000006978.1	ENSSHAG00000006010.1	JAKMIP3
ENSSHAT00000006979.1	ENSSHAG00000006011.1	
ENSSHAT00000006980.1	ENSSHAG00000006012.1	DIPK1A
ENSSHAT00000006981.1	ENSSHAG00000006013.1	NXNL2
ENSSHAT00000006982.1	ENSSHAG00000006014.1	CITED2
ENSSHAT00000006983.1	ENSSHAG00000006015.1	ARFIP1
ENSSHAT00000006984.1	ENSSHAG00000006016.1	CLVS1
ENSSHAT00000006985.1	ENSSHAG00000006017.1	SPAG7
ENSSHAT00000006986.1	ENSSHAG00000006018.1	DNAJB4
ENSSHAT00000006987.1	ENSSHAG00000006019.1	
ENSSHAT00000006988.1	ENSSHAG00000006020.1	
ENSSHAT00000006989.1	ENSSHAG00000006021.1	FAM110B
ENSSHAT00000006990.1	ENSSHAG00000006022.1	ECI2
ENSSHAT00000006991.1	ENSSHAG00000006022.1	ECI2
ENSSHAT00000006993.1	ENSSHAG00000006024.1	
ENSSHAT00000006994.1	ENSSHAG00000006025.1	
ENSSHAT00000006995.1	ENSSHAG00000006026.1	
ENSSHAT00000006996.1	ENSSHAG00000006027.1	
ENSSHAT00000006997.1	ENSSHAG00000006028.1	
ENSSHAT00000006998.1	ENSSHAG00000006029.1	
ENSSHAT00000006999.1	ENSSHAG00000006030.1	ASIC1
ENSSHAT00000007001.1	ENSSHAG00000006032.1	BRS3
ENSSHAT00000007002.1	ENSSHAG00000006033.1	ALDH5A1
ENSSHAT00000007003.1	ENSSHAG00000006034.1	
ENSSHAT00000007004.1	ENSSHAG00000006035.1	CIRBP
ENSSHAT00000007005.1	ENSSHAG00000006035.1	CIRBP
ENSSHAT00000007006.1	ENSSHAG00000006036.1	TMEM39A
ENSSHAT00000007007.1	ENSSHAG00000006036.1	TMEM39A
ENSSHAT00000007008.1	ENSSHAG00000006037.1	
ENSSHAT00000007009.1	ENSSHAG00000006038.1	JMJD6
ENSSHAT00000007010.1	ENSSHAG00000006039.1	SLC12A5
ENSSHAT00000007011.1	ENSSHAG00000006040.1	
ENSSHAT00000007012.1	ENSSHAG00000006040.1	
ENSSHAT00000007013.1	ENSSHAG00000006041.1	ANKRD13A
ENSSHAT00000007014.1	ENSSHAG00000006042.1	
ENSSHAT00000007015.1	ENSSHAG00000006043.1	OR4K13
ENSSHAT00000007016.1	ENSSHAG00000006044.1	ASB2
ENSSHAT00000007017.1	ENSSHAG00000006045.1	ZNF276
ENSSHAT00000007018.1	ENSSHAG00000006046.1	CFAP251
ENSSHAT00000007019.1	ENSSHAG00000006047.1	
ENSSHAT00000007020.1	ENSSHAG00000006048.1	ADCY3
ENSSHAT00000007021.1	ENSSHAG00000006049.1	
ENSSHAT00000007022.1	ENSSHAG00000006049.1	
ENSSHAT00000007023.1	ENSSHAG00000006050.1	
ENSSHAT00000007024.1	ENSSHAG00000006051.1	
ENSSHAT00000007025.1	ENSSHAG00000006052.1	
ENSSHAT00000007026.1	ENSSHAG00000006053.1	
ENSSHAT00000007027.1	ENSSHAG00000006054.1	
ENSSHAT00000007028.1	ENSSHAG00000006054.1	
ENSSHAT00000007029.1	ENSSHAG00000006055.1	CAPSL
ENSSHAT00000007030.1	ENSSHAG00000006055.1	CAPSL
ENSSHAT00000007031.1	ENSSHAG00000006056.1	
ENSSHAT00000007032.1	ENSSHAG00000006057.1	ANTXR1
ENSSHAT00000007033.1	ENSSHAG00000006058.1	CIDEB
ENSSHAT00000007034.1	ENSSHAG00000006059.1	
ENSSHAT00000007035.1	ENSSHAG00000006060.1	
ENSSHAT00000007036.1	ENSSHAG00000006061.1	
ENSSHAT00000007037.1	ENSSHAG00000006062.1	PLD4
ENSSHAT00000007038.1	ENSSHAG00000006063.1	RENBP
ENSSHAT00000007039.1	ENSSHAG00000006063.1	RENBP
ENSSHAT00000007040.1	ENSSHAG00000006064.1	
ENSSHAT00000007041.1	ENSSHAG00000006065.1	SMPD1
ENSSHAT00000007042.1	ENSSHAG00000006066.1	
ENSSHAT00000007043.1	ENSSHAG00000006067.1	
ENSSHAT00000007044.1	ENSSHAG00000006068.1	DNASE1L3
ENSSHAT00000007045.1	ENSSHAG00000006069.1	XPO4
ENSSHAT00000007046.1	ENSSHAG00000006070.1	SLC2A12
ENSSHAT00000007047.1	ENSSHAG00000006070.1	SLC2A12
ENSSHAT00000007048.1	ENSSHAG00000006071.1	
ENSSHAT00000007049.1	ENSSHAG00000006072.1	CNOT6L
ENSSHAT00000007050.1	ENSSHAG00000006073.1	
ENSSHAT00000007051.1	ENSSHAG00000006074.1	MCTP2
ENSSHAT00000007052.1	ENSSHAG00000006075.1	NELFA
ENSSHAT00000007053.1	ENSSHAG00000006076.1	
ENSSHAT00000007054.1	ENSSHAG00000006077.1	
ENSSHAT00000007055.1	ENSSHAG00000006078.1	
ENSSHAT00000007056.1	ENSSHAG00000006079.1	
ENSSHAT00000007057.1	ENSSHAG00000006080.1	GLT8D1
ENSSHAT00000007058.1	ENSSHAG00000006081.1	
ENSSHAT00000007059.1	ENSSHAG00000006082.1	DSG4
ENSSHAT00000007060.1	ENSSHAG00000006082.1	DSG4
ENSSHAT00000007061.1	ENSSHAG00000006083.1	KCNJ2
ENSSHAT00000007062.1	ENSSHAG00000006084.1	LARS1
ENSSHAT00000007063.1	ENSSHAG00000006085.1	RAB31
ENSSHAT00000007064.1	ENSSHAG00000006085.1	RAB31
ENSSHAT00000007065.1	ENSSHAG00000006086.1	
ENSSHAT00000007066.1	ENSSHAG00000006087.1	FBXO39
ENSSHAT00000007067.1	ENSSHAG00000006088.1	CYP4V2
ENSSHAT00000007068.1	ENSSHAG00000006089.1	RXRB
ENSSHAT00000007069.1	ENSSHAG00000006090.1	STARD13
ENSSHAT00000007070.1	ENSSHAG00000006090.1	STARD13
ENSSHAT00000007071.1	ENSSHAG00000006091.1	
ENSSHAT00000007072.1	ENSSHAG00000006092.1	EMC7
ENSSHAT00000007073.1	ENSSHAG00000006093.1	
ENSSHAT00000007074.1	ENSSHAG00000006093.1	
ENSSHAT00000007075.1	ENSSHAG00000006094.1	
ENSSHAT00000007076.1	ENSSHAG00000006095.1	PDPR
ENSSHAT00000007077.1	ENSSHAG00000006096.1	CHAF1B
ENSSHAT00000007078.1	ENSSHAG00000006096.1	CHAF1B
ENSSHAT00000007079.1	ENSSHAG00000006097.1	LIPC
ENSSHAT00000007080.1	ENSSHAG00000006097.1	LIPC
ENSSHAT00000007081.1	ENSSHAG00000006098.1	
ENSSHAT00000007082.1	ENSSHAG00000006099.1	
ENSSHAT00000007083.1	ENSSHAG00000006100.1	NUTF2
ENSSHAT00000007084.1	ENSSHAG00000006101.1	
ENSSHAT00000007085.1	ENSSHAG00000006102.1	
ENSSHAT00000007086.1	ENSSHAG00000006103.1	AWAT1
ENSSHAT00000007087.1	ENSSHAG00000006104.1	ADAMTS13
ENSSHAT00000007088.1	ENSSHAG00000006105.1	
ENSSHAT00000007089.1	ENSSHAG00000006106.1	UBFD1
ENSSHAT00000007090.1	ENSSHAG00000006107.1	SLC16A1
ENSSHAT00000007091.1	ENSSHAG00000006108.1	SAMD5
ENSSHAT00000007092.1	ENSSHAG00000006109.1	TMEM150B
ENSSHAT00000007093.1	ENSSHAG00000006110.1	PKN2
ENSSHAT00000007094.1	ENSSHAG00000006111.1	PNPO
ENSSHAT00000007095.1	ENSSHAG00000006112.1	
ENSSHAT00000007096.1	ENSSHAG00000006113.1	
ENSSHAT00000007097.1	ENSSHAG00000006114.1	ELOVL6
ENSSHAT00000007098.1	ENSSHAG00000006115.1	ELP6
ENSSHAT00000007099.1	ENSSHAG00000006116.1	CPB1
ENSSHAT00000007100.1	ENSSHAG00000006117.1	
ENSSHAT00000007101.1	ENSSHAG00000006118.1	
ENSSHAT00000007102.1	ENSSHAG00000006119.1	GNA11
ENSSHAT00000007103.1	ENSSHAG00000006120.1	
ENSSHAT00000007104.1	ENSSHAG00000006121.1	REV3L
ENSSHAT00000007105.1	ENSSHAG00000006121.1	REV3L
ENSSHAT00000007106.1	ENSSHAG00000006122.1	
ENSSHAT00000007107.1	ENSSHAG00000006122.1	
ENSSHAT00000007108.1	ENSSHAG00000006123.1	OTUD7A
ENSSHAT00000007109.1	ENSSHAG00000006124.1	TSHZ3
ENSSHAT00000007110.1	ENSSHAG00000006125.1	SEPTIN11
ENSSHAT00000007111.1	ENSSHAG00000006125.1	SEPTIN11
ENSSHAT00000007112.1	ENSSHAG00000006126.1	
ENSSHAT00000007113.1	ENSSHAG00000006127.1	LYRM1
ENSSHAT00000007114.1	ENSSHAG00000006128.1	
ENSSHAT00000007115.1	ENSSHAG00000006129.1	LIMS2
ENSSHAT00000007116.1	ENSSHAG00000006130.1	DHX58
ENSSHAT00000007117.1	ENSSHAG00000006131.1	MRC2
ENSSHAT00000007118.1	ENSSHAG00000006132.1	SELENOS
ENSSHAT00000007119.1	ENSSHAG00000006133.1	USP25
ENSSHAT00000007120.1	ENSSHAG00000006133.1	USP25
ENSSHAT00000007121.1	ENSSHAG00000006133.1	USP25
ENSSHAT00000007122.1	ENSSHAG00000006134.1	LIG3
ENSSHAT00000007123.1	ENSSHAG00000006135.1	MCC
ENSSHAT00000007124.1	ENSSHAG00000006135.1	MCC
ENSSHAT00000007125.1	ENSSHAG00000006136.1	PDS5A
ENSSHAT00000007126.1	ENSSHAG00000006137.1	
ENSSHAT00000007127.1	ENSSHAG00000006138.1	
ENSSHAT00000007128.1	ENSSHAG00000006139.1	
ENSSHAT00000007129.1	ENSSHAG00000006140.1	NYX
ENSSHAT00000007130.1	ENSSHAG00000006141.1	GNL3
ENSSHAT00000007131.1	ENSSHAG00000006142.1	
ENSSHAT00000007132.1	ENSSHAG00000006143.1	
ENSSHAT00000007133.1	ENSSHAG00000006144.1	TMEM18
ENSSHAT00000007134.1	ENSSHAG00000006145.1	
ENSSHAT00000007135.1	ENSSHAG00000006146.1	ANKS1A
ENSSHAT00000007136.1	ENSSHAG00000006147.1	KITLG
ENSSHAT00000007137.1	ENSSHAG00000006147.1	KITLG
ENSSHAT00000007138.1	ENSSHAG00000006148.1	PLPP1
ENSSHAT00000007139.1	ENSSHAG00000006149.1	
ENSSHAT00000007140.1	ENSSHAG00000006149.1	
ENSSHAT00000007141.1	ENSSHAG00000006150.1	
ENSSHAT00000007142.1	ENSSHAG00000006151.1	
ENSSHAT00000007143.1	ENSSHAG00000006152.1	MAEA
ENSSHAT00000007144.1	ENSSHAG00000006153.1	MACIR
ENSSHAT00000007145.1	ENSSHAG00000006154.1	RGL3
ENSSHAT00000007146.1	ENSSHAG00000006155.1	BRAP
ENSSHAT00000007147.1	ENSSHAG00000006156.1	APBB1
ENSSHAT00000007148.1	ENSSHAG00000006157.1	TBC1D14
ENSSHAT00000007149.1	ENSSHAG00000006158.1	STX3
ENSSHAT00000007150.1	ENSSHAG00000006159.1	PPFIA1
ENSSHAT00000007151.1	ENSSHAG00000006160.1	CAMTA2
ENSSHAT00000007152.1	ENSSHAG00000006161.1	MBIP
ENSSHAT00000007153.1	ENSSHAG00000006162.1	
ENSSHAT00000007154.1	ENSSHAG00000006163.1	TMEM87A
ENSSHAT00000007155.1	ENSSHAG00000006164.1	KLHL30
ENSSHAT00000007156.1	ENSSHAG00000006165.1	
ENSSHAT00000007157.1	ENSSHAG00000006166.1	BOC
ENSSHAT00000007158.1	ENSSHAG00000006167.1	PRPF8
ENSSHAT00000007159.1	ENSSHAG00000006168.1	NGFR
ENSSHAT00000007160.1	ENSSHAG00000006168.1	NGFR
ENSSHAT00000007161.1	ENSSHAG00000006169.1	FRRS1L
ENSSHAT00000007162.1	ENSSHAG00000006170.1	
ENSSHAT00000007163.1	ENSSHAG00000006171.1	KLRK1
ENSSHAT00000007164.1	ENSSHAG00000006172.1	
ENSSHAT00000007165.1	ENSSHAG00000006173.1	PTPN11
ENSSHAT00000007166.1	ENSSHAG00000006174.1	LTB4R2
ENSSHAT00000007167.1	ENSSHAG00000006175.1	
ENSSHAT00000007168.1	ENSSHAG00000006175.1	
ENSSHAT00000007169.1	ENSSHAG00000006175.1	
ENSSHAT00000007170.1	ENSSHAG00000006176.1	CCDC105
ENSSHAT00000007171.1	ENSSHAG00000006177.1	
ENSSHAT00000007172.1	ENSSHAG00000006178.1	PRR15L
ENSSHAT00000007173.1	ENSSHAG00000006179.1	MPP6
ENSSHAT00000007174.1	ENSSHAG00000006180.1	DCN
ENSSHAT00000007175.1	ENSSHAG00000006181.1	SLC39A7
ENSSHAT00000007176.1	ENSSHAG00000006182.1	
ENSSHAT00000007177.1	ENSSHAG00000006183.1	
ENSSHAT00000007178.1	ENSSHAG00000006184.1	ATCAY
ENSSHAT00000007179.1	ENSSHAG00000006185.1	DARS2
ENSSHAT00000007180.1	ENSSHAG00000006186.1	SLC35B4
ENSSHAT00000007181.1	ENSSHAG00000006186.1	SLC35B4
ENSSHAT00000007182.1	ENSSHAG00000006187.1	
ENSSHAT00000007183.1	ENSSHAG00000006188.1	TENT5C
ENSSHAT00000007184.1	ENSSHAG00000006189.1	ALKBH3
ENSSHAT00000007185.1	ENSSHAG00000006190.1	FANCA
ENSSHAT00000007186.1	ENSSHAG00000006190.1	FANCA
ENSSHAT00000007187.1	ENSSHAG00000006191.1	
ENSSHAT00000007188.1	ENSSHAG00000006192.1	
ENSSHAT00000007189.1	ENSSHAG00000006193.1	
ENSSHAT00000007190.1	ENSSHAG00000006194.1	
ENSSHAT00000007191.1	ENSSHAG00000006195.1	
ENSSHAT00000007192.1	ENSSHAG00000006196.1	TTLL8
ENSSHAT00000007193.1	ENSSHAG00000006196.1	TTLL8
ENSSHAT00000007194.1	ENSSHAG00000006196.1	TTLL8
ENSSHAT00000007195.1	ENSSHAG00000006197.1	DEXI
ENSSHAT00000007196.1	ENSSHAG00000006198.1	MAG
ENSSHAT00000007197.1	ENSSHAG00000006199.1	
ENSSHAT00000007198.1	ENSSHAG00000006200.1	IMP3
ENSSHAT00000007199.1	ENSSHAG00000006201.1	
ENSSHAT00000007200.1	ENSSHAG00000006202.1	SLC25A38
ENSSHAT00000007201.1	ENSSHAG00000006202.1	SLC25A38
ENSSHAT00000007202.1	ENSSHAG00000006203.1	ZBTB14
ENSSHAT00000007203.1	ENSSHAG00000006204.1	
ENSSHAT00000007204.1	ENSSHAG00000006205.1	WASHC5
ENSSHAT00000007205.1	ENSSHAG00000006205.1	WASHC5
ENSSHAT00000007206.1	ENSSHAG00000006206.1	
ENSSHAT00000007207.1	ENSSHAG00000006207.1	
ENSSHAT00000007208.1	ENSSHAG00000006208.1	IL1RL2
ENSSHAT00000007209.1	ENSSHAG00000006209.1	
ENSSHAT00000007210.1	ENSSHAG00000006210.1	CARF
ENSSHAT00000007211.1	ENSSHAG00000006211.1	
ENSSHAT00000007212.1	ENSSHAG00000006212.1	
ENSSHAT00000007213.1	ENSSHAG00000006213.1	
ENSSHAT00000007214.1	ENSSHAG00000006214.1	
ENSSHAT00000007215.1	ENSSHAG00000006215.1	
ENSSHAT00000007216.1	ENSSHAG00000006216.1	GPR17
ENSSHAT00000007217.1	ENSSHAG00000006217.1	FGFR2
ENSSHAT00000007218.1	ENSSHAG00000006217.1	FGFR2
ENSSHAT00000007219.1	ENSSHAG00000006217.1	FGFR2
ENSSHAT00000007220.1	ENSSHAG00000006218.1	
ENSSHAT00000007221.1	ENSSHAG00000006219.1	CSRP1
ENSSHAT00000007222.1	ENSSHAG00000006220.1	CD2BP2
ENSSHAT00000007223.1	ENSSHAG00000006221.1	
ENSSHAT00000007224.1	ENSSHAG00000006222.1	
ENSSHAT00000007225.1	ENSSHAG00000006223.1	TEKT1
ENSSHAT00000007226.1	ENSSHAG00000006224.1	DNAH5
ENSSHAT00000007227.1	ENSSHAG00000006225.1	
ENSSHAT00000007228.1	ENSSHAG00000006226.1	
ENSSHAT00000007229.1	ENSSHAG00000006226.1	
ENSSHAT00000007230.1	ENSSHAG00000006227.1	
ENSSHAT00000007231.1	ENSSHAG00000006228.1	ARAF
ENSSHAT00000007232.1	ENSSHAG00000006229.1	TTYH1
ENSSHAT00000007233.1	ENSSHAG00000006230.1	
ENSSHAT00000007234.1	ENSSHAG00000006231.1	TUT4
ENSSHAT00000007235.1	ENSSHAG00000006232.1	
ENSSHAT00000007236.1	ENSSHAG00000006233.1	SCAI
ENSSHAT00000007237.1	ENSSHAG00000006234.1	
ENSSHAT00000007238.1	ENSSHAG00000006235.1	
ENSSHAT00000007239.1	ENSSHAG00000006236.1	
ENSSHAT00000007240.1	ENSSHAG00000006236.1	
ENSSHAT00000007241.1	ENSSHAG00000006237.1	
ENSSHAT00000007242.1	ENSSHAG00000006238.1	LANCL2
ENSSHAT00000007243.1	ENSSHAG00000006239.1	
ENSSHAT00000007244.1	ENSSHAG00000006240.1	SCYL1
ENSSHAT00000007245.1	ENSSHAG00000006241.1	AHCYL1
ENSSHAT00000007246.1	ENSSHAG00000006242.1	S1PR5
ENSSHAT00000007247.1	ENSSHAG00000006243.1	
ENSSHAT00000007248.1	ENSSHAG00000006244.1	
ENSSHAT00000007249.1	ENSSHAG00000006245.1	
ENSSHAT00000007250.1	ENSSHAG00000006246.1	KIF5B
ENSSHAT00000007251.1	ENSSHAG00000006247.1	MAF1
ENSSHAT00000007252.1	ENSSHAG00000006248.1	GUCA1A
ENSSHAT00000007253.1	ENSSHAG00000006249.1	
ENSSHAT00000007254.1	ENSSHAG00000006250.1	OR5J2
ENSSHAT00000007255.1	ENSSHAG00000006251.1	
ENSSHAT00000007256.1	ENSSHAG00000006252.1	FIG4
ENSSHAT00000007257.1	ENSSHAG00000006253.1	
ENSSHAT00000007258.1	ENSSHAG00000006253.1	
ENSSHAT00000007259.1	ENSSHAG00000006254.1	
ENSSHAT00000007260.1	ENSSHAG00000006255.1	PAK1
ENSSHAT00000007261.1	ENSSHAG00000006256.1	
ENSSHAT00000007262.1	ENSSHAG00000006257.1	TMED8
ENSSHAT00000007263.1	ENSSHAG00000006258.1	
ENSSHAT00000007264.1	ENSSHAG00000006259.1	
ENSSHAT00000007265.1	ENSSHAG00000006260.1	ATAD2B
ENSSHAT00000007266.1	ENSSHAG00000006260.1	ATAD2B
ENSSHAT00000007267.1	ENSSHAG00000006260.1	ATAD2B
ENSSHAT00000007268.1	ENSSHAG00000006261.1	
ENSSHAT00000007269.1	ENSSHAG00000006262.1	
ENSSHAT00000007270.1	ENSSHAG00000006263.1	ANKRD9
ENSSHAT00000007271.1	ENSSHAG00000006264.1	
ENSSHAT00000007272.1	ENSSHAG00000006265.1	
ENSSHAT00000007273.1	ENSSHAG00000006266.1	
ENSSHAT00000007274.1	ENSSHAG00000006267.1	MAP3K2
ENSSHAT00000007275.1	ENSSHAG00000006267.1	MAP3K2
ENSSHAT00000007276.1	ENSSHAG00000006268.1	
ENSSHAT00000007277.1	ENSSHAG00000006269.1	ITPR3
ENSSHAT00000007278.1	ENSSHAG00000006270.1	
ENSSHAT00000007279.1	ENSSHAG00000006271.1	
ENSSHAT00000007280.1	ENSSHAG00000006272.1	
ENSSHAT00000007281.1	ENSSHAG00000006273.1	ZCRB1
ENSSHAT00000007282.1	ENSSHAG00000006274.1	LYSMD3
ENSSHAT00000007283.1	ENSSHAG00000006275.1	PTF1A
ENSSHAT00000007284.1	ENSSHAG00000006276.1	CPAMD8
ENSSHAT00000007285.1	ENSSHAG00000006277.1	NAB2
ENSSHAT00000007286.1	ENSSHAG00000006278.1	
ENSSHAT00000007287.1	ENSSHAG00000006279.1	
ENSSHAT00000007288.1	ENSSHAG00000006280.1	CDKL2
ENSSHAT00000007289.1	ENSSHAG00000006280.1	CDKL2
ENSSHAT00000007290.1	ENSSHAG00000006281.1	
ENSSHAT00000007291.1	ENSSHAG00000006282.1	RIMS2
ENSSHAT00000007292.1	ENSSHAG00000006283.1	VCPKMT
ENSSHAT00000007293.1	ENSSHAG00000006284.1	
ENSSHAT00000007294.1	ENSSHAG00000006285.1	GAA
ENSSHAT00000007295.1	ENSSHAG00000006285.1	GAA
ENSSHAT00000007296.1	ENSSHAG00000006286.1	
ENSSHAT00000007297.1	ENSSHAG00000006287.1	SEC16A
ENSSHAT00000007298.1	ENSSHAG00000006288.1	RING1
ENSSHAT00000007299.1	ENSSHAG00000006289.1	OR5M3
ENSSHAT00000007300.1	ENSSHAG00000006290.1	ADCK5
ENSSHAT00000007301.1	ENSSHAG00000006291.1	EDC4
ENSSHAT00000007302.1	ENSSHAG00000006291.1	EDC4
ENSSHAT00000007303.1	ENSSHAG00000006292.1	
ENSSHAT00000007304.1	ENSSHAG00000006293.1	
ENSSHAT00000007305.1	ENSSHAG00000006294.1	
ENSSHAT00000007306.1	ENSSHAG00000006295.1	NUP50
ENSSHAT00000007307.1	ENSSHAG00000006296.1	
ENSSHAT00000007308.1	ENSSHAG00000006297.1	
ENSSHAT00000007309.1	ENSSHAG00000006298.1	LINGO2
ENSSHAT00000007310.1	ENSSHAG00000006299.1	
ENSSHAT00000007311.1	ENSSHAG00000006300.1	PAPSS2
ENSSHAT00000007312.1	ENSSHAG00000006301.1	NID2
ENSSHAT00000007313.1	ENSSHAG00000006301.1	NID2
ENSSHAT00000007314.1	ENSSHAG00000006302.1	
ENSSHAT00000007315.1	ENSSHAG00000006303.1	TBC1D10B
ENSSHAT00000007316.1	ENSSHAG00000006304.1	POLR2H
ENSSHAT00000007317.1	ENSSHAG00000006305.1	
ENSSHAT00000007318.1	ENSSHAG00000006306.1	PARD6G
ENSSHAT00000007319.1	ENSSHAG00000006306.1	PARD6G
ENSSHAT00000007320.1	ENSSHAG00000006307.1	ARMC9
ENSSHAT00000007321.1	ENSSHAG00000006308.1	
ENSSHAT00000007322.1	ENSSHAG00000006309.1	
ENSSHAT00000007323.1	ENSSHAG00000006310.1	
ENSSHAT00000007324.1	ENSSHAG00000006311.1	TMEM179B
ENSSHAT00000007325.1	ENSSHAG00000006312.1	C8A
ENSSHAT00000007326.1	ENSSHAG00000006312.1	C8A
ENSSHAT00000007327.1	ENSSHAG00000006313.1	TMEM165
ENSSHAT00000007328.1	ENSSHAG00000006314.1	LTB4R
ENSSHAT00000007329.1	ENSSHAG00000006315.1	PMCH
ENSSHAT00000007330.1	ENSSHAG00000006316.1	PTDSS1
ENSSHAT00000007331.1	ENSSHAG00000006317.1	COQ2
ENSSHAT00000007332.1	ENSSHAG00000006318.1	KCNB1
ENSSHAT00000007333.1	ENSSHAG00000006319.1	
ENSSHAT00000007334.1	ENSSHAG00000006320.1	
ENSSHAT00000007335.1	ENSSHAG00000006321.1	KRT23
ENSSHAT00000007336.1	ENSSHAG00000006322.1	KEAP1
ENSSHAT00000007337.1	ENSSHAG00000006323.1	
ENSSHAT00000007338.1	ENSSHAG00000006324.1	
ENSSHAT00000007339.1	ENSSHAG00000006325.1	TBK1
ENSSHAT00000007340.1	ENSSHAG00000006326.1	CA11
ENSSHAT00000007341.1	ENSSHAG00000006327.1	CD5L
ENSSHAT00000007342.1	ENSSHAG00000006328.1	PLXNA3
ENSSHAT00000007343.1	ENSSHAG00000006329.1	EARS2
ENSSHAT00000007344.1	ENSSHAG00000006330.1	SDR42E2
ENSSHAT00000007345.1	ENSSHAG00000006331.1	SGCE
ENSSHAT00000007346.1	ENSSHAG00000006332.1	MARCHF8
ENSSHAT00000007347.1	ENSSHAG00000006333.1	ABCF1
ENSSHAT00000007348.1	ENSSHAG00000006334.1	FAM163A
ENSSHAT00000007349.1	ENSSHAG00000006335.1	PBRM1
ENSSHAT00000007350.1	ENSSHAG00000006336.1	
ENSSHAT00000007351.1	ENSSHAG00000006337.1	
ENSSHAT00000007352.1	ENSSHAG00000006338.1	ARHGEF9
ENSSHAT00000007353.1	ENSSHAG00000006339.1	
ENSSHAT00000007354.1	ENSSHAG00000006340.1	ADCY4
ENSSHAT00000007355.1	ENSSHAG00000006341.1	LIPM
ENSSHAT00000007356.1	ENSSHAG00000006342.1	
ENSSHAT00000007357.1	ENSSHAG00000006343.1	GNAI1
ENSSHAT00000007358.1	ENSSHAG00000006343.1	GNAI1
ENSSHAT00000007359.1	ENSSHAG00000006344.1	
ENSSHAT00000007360.1	ENSSHAG00000006345.1	HERPUD2
ENSSHAT00000007361.1	ENSSHAG00000006346.1	HIVEP3
ENSSHAT00000007362.1	ENSSHAG00000006347.1	ATP8A2
ENSSHAT00000007363.1	ENSSHAG00000006348.1	
ENSSHAT00000007364.1	ENSSHAG00000006349.1	
ENSSHAT00000007365.1	ENSSHAG00000006350.1	
ENSSHAT00000007366.1	ENSSHAG00000006351.1	RTN4
ENSSHAT00000007367.1	ENSSHAG00000006352.1	NPHS2
ENSSHAT00000007368.1	ENSSHAG00000006353.1	
ENSSHAT00000007369.1	ENSSHAG00000006354.1	ADAM17
ENSSHAT00000007370.1	ENSSHAG00000006355.1	
ENSSHAT00000007371.1	ENSSHAG00000006356.1	PIK3C2B
ENSSHAT00000007372.1	ENSSHAG00000006357.1	PDCL3
ENSSHAT00000007373.1	ENSSHAG00000006358.1	
ENSSHAT00000007374.1	ENSSHAG00000006359.1	CCDC124
ENSSHAT00000007375.1	ENSSHAG00000006360.1	HSPBAP1
ENSSHAT00000007376.1	ENSSHAG00000006361.1	GLYR1
ENSSHAT00000007377.1	ENSSHAG00000006362.1	
ENSSHAT00000007378.1	ENSSHAG00000006362.1	
ENSSHAT00000007379.1	ENSSHAG00000006363.1	
ENSSHAT00000007380.1	ENSSHAG00000006363.1	
ENSSHAT00000007381.1	ENSSHAG00000006364.1	SNRPA1
ENSSHAT00000007382.1	ENSSHAG00000006365.1	CRYBB3
ENSSHAT00000007383.1	ENSSHAG00000006366.1	LAMB4
ENSSHAT00000007384.1	ENSSHAG00000006366.1	LAMB4
ENSSHAT00000007385.1	ENSSHAG00000006367.1	PRSS27
ENSSHAT00000007386.1	ENSSHAG00000006368.1	
ENSSHAT00000007387.1	ENSSHAG00000006369.1	POLE2
ENSSHAT00000007388.1	ENSSHAG00000006370.1	
ENSSHAT00000007389.1	ENSSHAG00000006371.1	
ENSSHAT00000007390.1	ENSSHAG00000006372.1	STAT6
ENSSHAT00000007391.1	ENSSHAG00000006373.1	JMJD7
ENSSHAT00000007392.1	ENSSHAG00000006374.1	
ENSSHAT00000007393.1	ENSSHAG00000006374.1	
ENSSHAT00000007394.1	ENSSHAG00000006374.1	
ENSSHAT00000007395.1	ENSSHAG00000006375.1	VTA1
ENSSHAT00000007396.1	ENSSHAG00000006376.1	ACAP1
ENSSHAT00000007397.1	ENSSHAG00000006377.1	
ENSSHAT00000007398.1	ENSSHAG00000006378.1	
ENSSHAT00000007399.1	ENSSHAG00000006379.1	RAB23
ENSSHAT00000007400.1	ENSSHAG00000006380.1	
ENSSHAT00000007401.1	ENSSHAG00000006381.1	POLR2K
ENSSHAT00000007402.1	ENSSHAG00000006382.1	STMN1
ENSSHAT00000007403.1	ENSSHAG00000006383.1	LIG1
ENSSHAT00000007404.1	ENSSHAG00000006384.1	COPS5
ENSSHAT00000007405.1	ENSSHAG00000006385.1	
ENSSHAT00000007406.1	ENSSHAG00000006386.1	
